Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2015","2015","ha","282000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2016","2016","ha","219208","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2017","2017","ha","68179","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2018","2018","ha","84147","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2019","2019","ha","84070","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2020","2020","ha","86099","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0115","Barley","2015","2015","hg/ha","14291","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0115","Barley","2016","2016","hg/ha","13770","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0115","Barley","2017","2017","hg/ha","13933","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0115","Barley","2018","2018","hg/ha","6748","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0115","Barley","2019","2019","hg/ha","14699","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0115","Barley","2020","2020","hg/ha","14838","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2015","2015","tonnes","403000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2016","2016","tonnes","301856","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2017","2017","tonnes","94995","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2018","2018","tonnes","56781","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2019","2019","tonnes","123576","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2020","2020","tonnes","127757","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2015","2015","ha","147273","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2016","2016","ha","151900","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2017","2017","ha","134225","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2018","2018","ha","72433","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2019","2019","ha","94910","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","140498","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","2015","2015","hg/ha","21457","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","2016","2016","hg/ha","20517","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","2017","2017","hg/ha","12957","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","2018","2018","hg/ha","14727","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","2019","2019","hg/ha","19457","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","2020","2020","hg/ha","19344","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2015","2015","tonnes","316000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2016","2016","tonnes","311646","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2017","2017","tonnes","173912","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2018","2018","tonnes","106670","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2019","2019","tonnes","184671","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2020","2020","tonnes","271776","A","Official figure"
